23 January 2012 08:50:30 AM

CORDIC_PRB:
  C++ version,
  Test the CORDIC library.

TEST001:
  COSSIN_CORDIC computes the cosine and sine
  using the CORDIC algorithm.

          A        N      Cos(A)           Cos(A)           Difference
                          Tabulated        CORDIC


         0.4     0          0.41151685                 0        0.4115
         0.4     5          0.41151685        0.52709139       -0.1156
         0.4    10          0.41151685        0.41383337     -0.002317
         0.4    15          0.41151685        0.41151403     2.811e-06
         0.4    20          0.41151685        0.41151785    -1.004e-06
         0.4    25          0.41151685        0.41151678     6.933e-08

         0.5     0          0.52359878                 0        0.5236
         0.5     5          0.52359878        0.52709139     -0.003493
         0.5    10          0.52359878        0.52320257     0.0003962
         0.5    15          0.52359878        0.52356878         3e-05
         0.5    20          0.52359878        0.52359548     3.293e-06
         0.5    25          0.52359878         0.5235987     7.424e-08

         0.6     0          0.64350111                 0        0.6435
         0.6     5          0.64350111        0.75991083       -0.1164
         0.6    10          0.64350111         0.6466528     -0.003152
         0.6    15          0.64350111        0.64360105    -9.994e-05
         0.6    20          0.64350111        0.64349805     3.058e-06
         0.6    25          0.64350111        0.64350103     7.798e-08

         0.7     0           0.7753975                 0        0.7754
         0.7     5           0.7753975        0.75991083       0.01549
         0.7    10           0.7753975        0.77161214      0.003785
         0.7    15           0.7753975        0.77539632     1.179e-06
         0.7    20           0.7753975        0.77540013    -2.635e-06
         0.7    25           0.7753975        0.77539739     1.065e-07

         0.8     0          0.92729522                 0        0.9273
         0.8     5          0.92729522         1.0095861      -0.08229
         0.8    10          0.92729522        0.92757741    -0.0002822
         0.8    15          0.92729522         0.9272112     8.402e-05
         0.8    20          0.92729522        0.92729894    -3.718e-06
         0.8    25          0.92729522        0.92729524    -2.288e-08

         0.9     0           1.1197695                 0          1.12
         0.9     5           1.1197695         1.0095861        0.1102
         0.9    10           1.1197695         1.1228441     -0.003075
         0.9    15           1.1197695         1.1197923    -2.282e-05
         0.9    20           1.1197695         1.1197733    -3.742e-06
         0.9    25           1.1197695         1.1197696    -4.632e-08

           1     0           1.5707963                 0         1.571
           1     5           1.5707963         1.6345866      -0.06379
           1    10           1.5707963         1.5682029      0.002593
           1    15           1.5707963         1.5707663     2.998e-05
           1    20           1.5707963         1.5707931     3.275e-06
           1    25           1.5707963         1.5707963     5.662e-08

TEST006:
  TAN_CORDIC computes the tangent of THETA
  using the CORDIC algorithm.

  THETA    N         Tan(THETA)  Tan(THETA)      Difference
                     Tabulated   CORDIC


           0     0                   0                 0             0
           0     5                   0       0.014836795      -0.01484
           0    10                   0      0.0011725909     -0.001173
           0    15                   0     1.2922696e-05    -1.292e-05
           0    20                   0    -4.2874447e-07     4.287e-07
           0    25                   0    -1.1511956e-08     1.151e-08

      0.2618     0          0.26794919                 0        0.2679
      0.2618     5          0.26794919        0.26982176     -0.001873
      0.2618    10          0.26794919        0.26773688     0.0002123
      0.2618    15          0.26794919        0.26793312     1.607e-05
      0.2618    20          0.26794919        0.26794743     1.765e-06
      0.2618    25          0.26794919        0.26794915     3.978e-08

         0.5     0          0.54630249                 0        0.5463
         0.5     5          0.54630249        0.55254237      -0.00624
         0.5    10          0.54630249        0.54493002      0.001372
         0.5    15          0.54630249        0.54627649       2.6e-05
         0.5    20          0.54630249        0.54630373     -1.24e-06
         0.5    25          0.54630249        0.54630241     7.569e-08

      0.5236     0          0.57735027                 0        0.5774
      0.5236     5          0.57735027        0.55254237       0.02481
      0.5236    10          0.57735027        0.57570258      0.001648
      0.5236    15          0.57735027        0.57741039    -6.012e-05
      0.5236    20          0.57735027         0.5773519    -1.626e-06
      0.5236    25          0.57735027        0.57735023     4.291e-08

      0.7854     0                   1                 0             1
      0.7854     5                   1          1.065915      -0.06592
      0.7854    10                   1         0.9974099       0.00259
      0.7854    15                   1        0.99997002     2.998e-05
      0.7854    20                   1        0.99999672     3.275e-06
      0.7854    25                   1        0.99999994     5.662e-08

           1     0           1.5574077                 0         1.557
           1     5           1.5574077         1.3753784         0.182
           1    10           1.5574077          1.553168       0.00424
           1    15           1.5574077         1.5575505    -0.0001428
           1    20           1.5574077         1.5574133    -5.546e-06
           1    25           1.5574077         1.5574078    -3.335e-08

       1.047     0           1.7320508                 0         1.732
       1.047     5           1.7320508          1.809816      -0.07777
       1.047    10           1.7320508          1.737008     -0.004957
       1.047    15           1.7320508         1.7318705     0.0001803
       1.047    20           1.7320508         1.7320459     4.878e-06
       1.047    25           1.7320508         1.7320509    -1.287e-07

       1.309     0           3.7320508                 0         3.732
       1.309     5           3.7320508         3.7061503        0.0259
       1.309    10           3.7320508         3.7350103      -0.00296
       1.309    15           3.7320508         3.7322747    -0.0002239
       1.309    20           3.7320508         3.7320754    -2.458e-05
       1.309    25           3.7320508         3.7320514    -5.541e-07

        1.44     0           7.5957541                 0         7.596
        1.44     5           7.5957541         7.1630901        0.4327
        1.44    10           7.5957541         7.7118399       -0.1161
        1.44    15           7.5957541          7.599066     -0.003312
        1.44    20           7.5957541         7.5958179    -6.379e-05
        1.44    25           7.5957541         7.5957514     2.679e-06

       1.505     0           15.257052                 0         15.26
       1.505     5           15.257052              67.4        -52.14
       1.505    10           15.257052         15.689139       -0.4321
       1.505    15           15.257052           15.2635     -0.006448
       1.505    20           15.257052         15.256809      0.000243
       1.505    25           15.257052         15.257046     6.162e-06

           2     0          -2.1850399                 0        -2.185
           2     5          -2.1850399            -2.504         0.319
           2    10          -2.1850399        -2.1875351      0.002495
           2    15          -2.1850399        -2.1850656     2.578e-05
           2    20          -2.1850399        -2.1850326    -7.265e-06
           2    25          -2.1850399        -2.1850398    -3.703e-08

           3     0         -0.14254654                 0       -0.1425
           3     5         -0.14254654       -0.13960455     -0.002942
           3    10         -0.14254654        -0.1415874    -0.0009591
           3    15         -0.14254654        -0.1425214    -2.514e-05
           3    20         -0.14254654        -0.1425467     1.591e-07
           3    25         -0.14254654       -0.14254652    -2.335e-08

       3.142     0                   0                 0             0
       3.142     5                   0       0.014836795      -0.01484
       3.142    10                   0      0.0011725909     -0.001173
       3.142    15                   0     1.2922696e-05    -1.292e-05
       3.142    20                   0    -4.2874447e-07     4.287e-07
       3.142    25                   0    -1.1511956e-08     1.151e-08

           4     0           1.1578213                 0         1.158
           4     5           1.1578213          1.065915       0.09191
           4    10           1.1578213         1.1575645     0.0002568
           4    15           1.1578213         1.1577074     0.0001139
           4    20           1.1578213          1.157819     2.328e-06
           4    25           1.1578213         1.1578213    -4.402e-08

           5     0           -3.380515                 0        -3.381
           5     5           -3.380515        -3.7061503        0.3256
           5    10           -3.380515        -3.3642295      -0.01629
           5    15           -3.380515        -3.3800864    -0.0004286
           5    20           -3.380515        -3.3805367     2.172e-05
           5    25           -3.380515        -3.3805152     2.404e-07

TEST007:
  EXP_CORDIC computes the exponential function
  using the CORDIC algorithm.

    X      N           Exp(X)      Exp(X)        Difference
                     Tabulated   CORDIC


         -10     0        4.539993e-05      4.539993e-05    -2.711e-20
         -10     5        4.539993e-05      4.539993e-05    -2.711e-20
         -10    10        4.539993e-05      4.539993e-05    -2.711e-20
         -10    15        4.539993e-05      4.539993e-05    -2.711e-20
         -10    20        4.539993e-05      4.539993e-05    -2.711e-20
         -10    25        4.539993e-05      4.539993e-05    -2.711e-20

          -5     0         0.006737947       0.006737947    -2.602e-18
          -5     5         0.006737947       0.006737947    -2.602e-18
          -5    10         0.006737947       0.006737947    -2.602e-18
          -5    15         0.006737947       0.006737947    -2.602e-18
          -5    20         0.006737947       0.006737947    -2.602e-18
          -5    25         0.006737947       0.006737947    -2.602e-18

          -1     0          0.36787944        0.36787944             0
          -1     5          0.36787944        0.36787944             0
          -1    10          0.36787944        0.36787944             0
          -1    15          0.36787944        0.36787944             0
          -1    20          0.36787944        0.36787944             0
          -1    25          0.36787944        0.36787944             0

           0     0                   1                 1             0
           0     5                   1                 1             0
           0    10                   1                 1             0
           0    15                   1                 1             0
           0    20                   1                 1             0
           0    25                   1                 1             0

         0.1     0           1.1051709         1.1051708     8.474e-08
         0.1     5           1.1051709         1.1051709     8.749e-14
         0.1    10           1.1051709         1.1051709    -4.441e-16
         0.1    15           1.1051709         1.1051709    -8.882e-16
         0.1    20           1.1051709         1.1051709     -1.11e-15
         0.1    25           1.1051709         1.1051709    -1.332e-15

         0.2     0           1.2214028            1.2214     2.758e-06
         0.2     5           1.2214028         1.2214028     3.075e-12
         0.2    10           1.2214028         1.2214028    -4.841e-14
         0.2    15           1.2214028         1.2214028    -4.796e-14
         0.2    20           1.2214028         1.2214028    -4.774e-14
         0.2    25           1.2214028         1.2214028    -4.796e-14

         0.3     0           1.3498588         1.3498375     2.131e-05
         0.3     5           1.3498588         1.3498588     2.566e-11
         0.3    10           1.3498588         1.3498588    -1.998e-15
         0.3    15           1.3498588         1.3498588    -1.998e-15
         0.3    20           1.3498588         1.3498588    -1.776e-15
         0.3    25           1.3498588         1.3498588    -1.776e-15

         0.4     0           1.4918247         1.4917333     9.136e-05
         0.4     5           1.4918247         1.4918247     1.189e-10
         0.4    10           1.4918247         1.4918247    -6.062e-14
         0.4    15           1.4918247         1.4918247    -5.951e-14
         0.4    20           1.4918247         1.4918247    -5.929e-14
         0.4    25           1.4918247         1.4918247    -5.951e-14

         0.5     0           1.6487213         1.6484375     0.0002838
         0.5     5           1.6487213         1.6487213     3.989e-10
         0.5    10           1.6487213         1.6487213     -6.75e-14
         0.5    15           1.6487213         1.6487213    -6.661e-14
         0.5    20           1.6487213         1.6487213    -6.661e-14
         0.5    25           1.6487213         1.6487213    -6.684e-14

         0.6     0           1.8221188            1.8214     0.0007188
         0.6     5           1.8221188         1.8221188     1.441e-13
         0.6    10           1.8221188         1.8221188    -8.882e-16
