28 April 2014 09:09:01 PM

SIMPLE_GA:
  C++ version
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

       468         26.8359         23.8079          3.4109
       469         26.8359         22.4736         4.58663
       470         26.8359         23.0733         4.33542
       471         26.8359         22.7037         4.61618
       472         26.8359         22.8769         4.95653
       473         26.8359         22.6022         5.49759
       474         26.8359         22.4786         5.62128
       475         26.8359         22.5602         5.89593
       476         26.8359         22.8866         5.88974
       477         26.8359         22.9061         5.60872
       478         26.8359         22.7576         5.31556
       479         26.8359         22.7375         5.48803
       480         26.8359         23.2224         5.35472
       481         26.8359         23.6527          4.4907
       482         26.8359         23.2707         4.69847
       483         26.8359         22.6394         4.30629
       484         26.8359         21.5718         4.48267
       485         26.8359         22.0445         4.26683
       486         26.8359         22.2151         4.86565
       487         26.8359         22.8535         3.93542
       488         26.8359         22.9392          4.0743
       489         26.8359         21.8229         5.40895
       490         26.8359         21.7278         6.28221
       491         26.8359         22.0402         4.81742
       492         26.8359         21.5021         5.66715
       493         26.8359         21.6412         4.21739
       494         26.8359         21.9738         5.28504
       495         26.8359         22.3929         3.87667
       496         26.8359         21.2793         4.47338
       497         26.8359          21.709         3.67448
       498         26.8359          21.671         4.61353
       499         26.8359         22.6033         3.93255
       500         26.8359         22.9363         3.91986
       501         26.8359         23.1861         3.03096
       502         26.8359         21.7758         4.65845
       503         26.8359         21.6648          5.3491
       504         26.8359         21.7683         5.11242
       505         26.8359         23.0046         4.12784
       506         26.8359         23.1968          3.1697
       507         26.8359          22.852         2.21701
       508         26.8359         21.8572         5.05272
       509         26.8359         22.0362         4.31274
       510         26.8359          21.791         5.25184
       511         26.8359         22.5208          4.5946
       512         26.8359          23.574         3.56763
       513         26.8359         22.0418         5.55238
       514         26.8359         22.1432         5.49051
       515         26.8359          22.445         4.48734
       516         26.8359         21.8411         5.05478
       517         26.8359         22.9932         3.70139
       518         26.8359         23.5649         3.20403
       519         26.8359         23.5036         4.40606
       520         26.8359         22.7413         4.60013
       521         26.8359         21.9623         4.71928
       522         26.8359         21.9797         5.33055
       523         26.8359         22.3418         4.47484
       524         26.8359         21.3481         4.62537
       525         26.8359         21.4325         4.55622
       526         26.8359         22.1809         3.53198
       527         26.8359         21.3048          4.6877
       528         26.8359         21.2009         5.87849
       529         26.8359         21.2775         5.82767
       530         26.8359         21.6702         4.62205
       531         26.8359         21.5508         5.16275
       532         26.8359          22.927         4.59433
       533         26.8359         22.1562          5.1923
       534         26.8359         20.5879         6.14142
       535         26.8359         22.1885         5.33887
       536         26.8359         22.2306          4.9333
       537         26.8359         22.4905         4.23072
       538         26.8359         22.0787         4.36901
       539         26.8359         21.1637          4.6296
       540         26.8359         22.4375         4.61731
       541         26.8359         22.4244         4.52581
       542         26.8359         22.4584         4.54074
       543         26.8359         21.8657         5.24415
       544         26.8359         20.2624         6.40155
       545         26.8359         21.0559         5.94009
       546         26.8359         20.7076         6.43588
       547         26.8359         20.0538         7.10034
       548         26.8359         21.5756         5.32509
       549         26.8359         21.6289         4.71655
       550         26.8359         22.3377         4.96988
       551         26.8359         21.0762         5.25849
       552         26.8359          20.769         5.77298
       553         26.8359          20.952         4.92444
       554         26.8359         20.2913         5.45111
       555         26.8359         20.6899           5.857
       556         26.8359         20.3153         6.67535
       557         26.8359         21.0737         6.03883
       558         26.8359         24.0934         3.89152
       559         26.8359         23.7791         4.93552
       560         26.8359         24.4799          4.1899
       561         26.8359         23.9029          4.7622
       562         26.8359         24.5841         2.80623
       563         26.8359         24.6688         2.91044
       564         26.8359         23.4636         4.50322
       565         26.8359         22.4785         4.72385
       566         26.8359         23.3848         4.11771
       567         26.8359         24.6337         2.38153
       568         26.8359         22.9535         5.75521
       569         26.8359         23.2552         4.54721
       570         26.8359         23.5974         4.25041
       571         26.8359         23.8105         3.41693
       572         26.8359         22.3939         5.30853
       573         26.8359         23.5575         3.70383
       574         26.8359         23.0729         4.61378
       575         26.8359         22.7349         5.60206
       576         26.8359         21.6252         6.09474
       577         26.8359         20.8183         6.13753
       578         26.8359         21.0786         5.35675
       579         26.8359         20.9383         5.26535
       580         26.8359         21.2666         5.73934
       581         26.8359          22.218         4.26655
       582         26.8359         23.1578         3.84018
       583         26.8359         22.3684         6.03965
       584         26.8359         22.6511         4.63886
       585         26.8359         23.2866         3.43277
       586         26.8359         23.3247         3.33787
       587         26.8359         22.9094         3.52552
       588         26.8359         22.1432         4.11485
       589         26.8359         21.6096         4.36333
       590         26.8359         21.5465          4.6284
       591         26.8359         22.2916         3.90619
       592         26.8359         21.6979         4.15581
       593         26.8359          21.709         3.97614
       594         26.8359         21.3869         4.93331
       595         26.8359         22.5216         3.85769
       596         26.8359         21.0458         5.60626
       597         26.8359         21.4783         4.43599
       598         26.8359         21.3952         5.07785
       599         26.8359         21.5282         5.55242
       600         26.8359         22.1184         4.36172
       601         26.8359         22.5966         3.56975
       602         26.8359          22.453         3.61853
       603         26.8359         22.8649         4.94315
       604         26.8359          23.621         3.17649
       605         26.8359         22.2869         5.40453
       606         26.8359         22.5393         5.10225
       607         26.8359         23.2274         3.06887
       608         26.8359         21.7817         5.14937
       609         26.8359         21.2482         5.36336
       610         26.8359         22.9603         4.23065
       611         26.8359         21.9545         5.46074
       612         26.8359         22.8047          4.4678
       613         26.8359         22.5801         4.23917
       614         26.8359         22.3451         4.77199
       615         26.8359         21.3977         5.52464
       616         26.8359         19.9575         7.05886
       617         26.8359         21.4116         4.80748
       618         26.8359           20.79            4.57
       619         26.8359         19.7693         6.14159
       620         26.8359         21.4443         4.59441
       621         26.8359          22.734          4.2356
       622         26.8359         21.2943         5.06074
       623         26.8359         21.0647         5.37381
       624         26.8359         21.1504         6.05791
       625         26.8359         21.0336         5.75994
       626         26.8359          20.628         5.87927
       627         26.8359         22.6415         4.68055
       628         26.8359         21.6575         5.49908
       629         26.8359         21.2859         5.19701
       630         26.8359         21.3884         5.34564
       631         26.8359         21.3424         5.60271
       632         26.8359         21.5471          6.0489
       633         26.8359         20.9037         5.72026
       634         26.8359         21.8883         5.71073
       635         26.8359         22.1287         5.15933
       636         26.8359         23.3826         3.57546
       637         26.8359         23.6499         4.75243
       638         26.8359         24.1468         3.95164
       639         26.8359         23.3658         5.35624
       640         26.8359         22.9713         5.27374
       641         26.8359         24.0305         4.13215
       642         26.8359         24.7911         2.96505
       643         26.8359          22.748          5.6379
       644         26.8359         22.1569         5.29992
       645         26.8359         22.2963         4.79888
       646         26.8359         22.5799         5.20078
       647         26.8359         22.1928         5.68149
       648         26.8359         22.9825         4.79001
       649         26.8359          23.907         3.99557
       650         26.8359         23.2583         4.94568
       651         26.8359         22.4058         5.46006
       652         26.8359          22.719         5.30905
       653         26.8359         21.8421         4.25474
       654         26.8359         23.0764         4.90654
       655         26.8359         23.9354         4.20684
       656         26.8359          23.569         4.20259
       657         26.8359         23.1043         5.10463
       658         26.8359         23.3223          4.5131
       659         26.8359         22.3958         4.47248
       660         26.8359         21.8288         6.52717
       661         26.8359         22.6692         5.57569
       662         26.8359         23.5475          2.6973
       663         26.8359          21.749         5.56432
       664         26.8359         22.9506         4.25729
       665         26.8359         21.8472         5.59677
       666         26.8359         20.7295         6.26836
       667         26.8359         21.4054         5.99677
       668         26.8359         21.5051         5.90012
       669         26.8359         21.0171         6.83659
       670         26.8359         23.4308         4.23415
       671         26.8359         22.3662         5.32586
       672         26.8359         23.8881         2.37514
       673         26.8359         22.5581         5.15501
       674         26.8359         22.6779         4.51915
       675         26.8359         21.9717         4.56003
       676         26.8359         22.5709         5.39284
       677         26.8359         19.2634          8.0253
       678         26.8359         21.2065         5.68287
       679         26.8359          21.802         5.32985
